cascade_id,student_id,accused_by,accusation_date,evidence_strength,outcome,cascade_level,subject,sanction_level
C019,S119,S143,2026-08-12 21:49:54.367053,0.5947881134667443,Dismissed,3,ENG,Suspension
C019,S166,S175,2026-08-09 21:49:54.367053,0.8889039487807492,Upheld,4,MATH,Warning
C019,S085,S153,2026-08-11 21:49:54.367053,0.5478536037094028,Appealed,5,CS,None
C019,S035,S161,2026-08-12 21:49:54.367053,0.49073975831372035,Dismissed,6,BIO,Suspension
C019,S131,S176,2026-08-10 21:49:54.367053,0.6835597682855304,Dismissed,7,CHEM,Expulsion
C019,S107,S128,2026-08-11 21:49:54.367053,0.6414602088727492,Upheld,8,BIO,Probation
C019,S189,S041,2026-08-09 21:49:54.367053,0.46057574036221977,Pending,9,BIO,Suspension
C019,S060,S198,2026-08-14 21:49:54.367053,0.507756747217873,Pending,10,BIO,Warning
C019,S140,S118,2026-08-10 21:49:54.367053,0.8475563423704973,Dismissed,11,MATH,None
C019,S083,S151,2026-08-07 21:49:54.367053,0.7416637703174104,Upheld,12,MATH,Warning
C020,S128,S101,2026-03-21 21:49:54.381100,0.7713727318311604,Upheld,0,BIO,Warning
C020,S060,S138,2026-03-19 21:49:54.381100,0.11723697027181348,Upheld,1,ENG,Warning
C020,S106,S099,2026-03-20 21:49:54.381100,0.7190230177742567,Appealed,2,MATH,Warning
C020,S062,S024,2026-03-18 21:49:54.381100,0.19908375600134184,Pending,3,MATH,Probation
C020,S122,S200,2026-03-16 21:49:54.381100,0.43356881965908467,Appealed,4,BIO,None
C021,S176,S034,2026-04-11 21:49:54.390139,0.6430615060105892,Pending,0,CS,Probation
C021,S074,S097,2026-04-13 21:49:54.390139,0.6170487333019865,Upheld,1,PHYS,Suspension
C021,S180,S020,2026-04-12 21:49:54.390139,0.7290529437536868,Appealed,2,ENG,Expulsion
C021,S037,S177,2026-04-12 21:49:54.390139,0.46577051743621,Upheld,3,ENG,Warning
C021,S123,S076,2026-04-14 21:49:54.390139,0.7571963590636794,Dismissed,4,CHEM,Warning
C021,S088,S111,2026-04-15 21:49:54.390139,0.7852153812770384,Dismissed,5,MATH,None
C022,S141,S021,2026-06-03 21:49:54.393706,0.7004325800104123,Dismissed,0,MATH,Warning
C022,S170,S172,2026-06-10 21:49:54.393706,0.7939853319056736,Appealed,1,BIO,Warning
C022,S112,S050,2026-06-07 21:49:54.393706,0.5092643680455297,Dismissed,2,ENG,Probation
C022,S124,S006,2026-06-06 21:49:54.393706,0.6216005821023782,Upheld,3,CS,None
C022,S005,S001,2026-06-06 21:49:54.393706,0.818216363150146,Upheld,4,PHYS,Warning
C023,S068,S054,2026-04-29 21:49:54.405900,0.8965875434080944,Dismissed,0,CS,Warning
C023,S007,S089,2026-04-26 21:49:54.405900,0.6650273447967886,Upheld,1,BIO,Warning
C023,S088,S090,2026-05-03 21:49:54.405900,0.5550700811358389,Pending,2,ENG,Suspension
C023,S071,S174,2026-04-27 21:49:54.405900,0.5345198954259782,Pending,3,BIO,Probation
C023,S037,S093,2026-04-30 21:49:54.405900,0.9097911725026667,Upheld,4,ENG,None
C023,S107,S168,2026-04-27 21:49:54.405900,0.8970199949702992,Dismissed,5,BIO,Warning
C023,S009,S040,2026-05-05 21:49:54.405900,0.7181293559351769,Dismissed,6,CS,Probation
C023,S050,S133,2026-05-01 21:49:54.405900,0.771894855195011,Appealed,7,CHEM,Probation
C024,S051,S106,2026-04-19 21:49:54.428494,0.40156353754617685,Appealed,0,MATH,None
C024,S144,S168,2026-04-16 21:49:54.428494,0.4527755643616482,Appealed,1,CHEM,Probation
C024,S157,S160,2026-04-19 21:49:54.428494,0.41077305555385346,Upheld,2,PHYS,Probation
C024,S119,S128,2026-04-14 21:49:54.428494,0.597485378634685,Upheld,3,MATH,Expulsion
C024,S082,S135,2026-04-17 21:49:54.428494,0.8059253617738896,Appealed,4,ENG,Probation
C024,S033,S124,2026-04-20 21:49:54.428494,0.30217875154287344,Dismissed,5,CS,Warning
C024,S195,S139,2026-04-16 21:49:54.428494,0.6262187598727774,Pending,6,BIO,Probation
C025,S174,S148,2026-05-07 21:49:54.445540,0.7407678785780293,Upheld,0,CHEM,None
C025,S062,S147,2026-05-07 21:49:54.445540,0.8248325224829823,Upheld,1,CHEM,Probation
C025,S096,S072,2026-05-04 21:49:54.445540,0.8870704154950739,Dismissed,2,CS,Warning
C025,S040,S118,2026-05-03 21:49:54.445540,0.4995887480689538,Upheld,3,CS,None
C026,S030,S168,2026-04-19 21:49:54.457948,0.4199291426499204,Dismissed,0,ENG,Expulsion
C026,S086,S005,2026-04-20 21:49:54.457948,0.2116056119591609,Upheld,1,CHEM,Suspension
C026,S120,S152,2026-04-23 21:49:54.457948,0.5972047575693579,Pending,2,MATH,Probation
C026,S077,S177,2026-04-23 21:49:54.457948,0.5457307229707311,Pending,3,BIO,Probation
C026,S110,S006,2026-04-18 21:49:54.457948,0.2555430374100637,Dismissed,4,BIO,Probation
C026,S032,S001,2026-04-19 21:49:54.457948,0.6912951517744627,Dismissed,5,ENG,Probation
C026,S200,S112,2026-04-20 21:49:54.457948,0.3158480958221605,Dismissed,6,CHEM,Probation
C026,S144,S146,2026-04-20 21:49:54.457948,0.8098544878602641,Dismissed,7,MATH,Probation
C026,S028,S136,2026-04-20 21:49:54.457948,0.8923816871796164,Upheld,8,CHEM,Warning
C026,S175,S028,2026-04-18 21:49:54.457948,0.5563577053677501,Dismissed,9,CS,Probation
C027,S156,S172,2026-06-09 21:49:54.514878,0.7544672353146968,Upheld,0,PHYS,None
C027,S058,S169,2026-06-12 21:49:54.514878,0.4600936606795615,Dismissed,1,CS,None
C027,S007,S151,2026-06-11 21:49:54.514878,0.5328769498788494,Upheld,2,MATH,Suspension
C027,S117,S157,2026-06-15 21:49:54.514878,0.4310993807597991,Dismissed,3,MATH,None
C028,S119,S168,2026-05-13 21:49:54.518503,0.82754781075718,Dismissed,0,ENG,Probation
C028,S152,S055,2026-05-13 21:49:54.518503,0.7191913167180807,Dismissed,1,CHEM,Warning
C028,S189,S012,2026-05-12 21:49:54.518503,0.49655464018641854,Pending,2,ENG,Warning
C028,S177,S070,2026-05-12 21:49:54.518503,0.818478233884528,Upheld,3,CHEM,Suspension
C028,S125,S159,2026-05-12 21:49:54.518503,0.7716278906076508,Upheld,4,PHYS,Expulsion
C028,S057,S002,2026-05-16 21:49:54.518503,0.8753136312809713,Pending,5,CS,Warning
C028,S002,S078,2026-05-13 21:49:54.518503,0.5094802119379552,Pending,6,CHEM,None
C029,S089,S193,2026-05-16 21:49:54.524418,0.8136816701245472,Dismissed,0,PHYS,Expulsion
C029,S090,S089,2026-05-20 21:49:54.524418,0.3777661975828774,Upheld,1,CHEM,Probation
C029,S061,S058,2026-05-17 21:49:54.524418,0.9602883849513293,Upheld,2,ENG,Warning
C029,S039,S058,2026-05-16 21:49:54.524418,0.5990034042534027,Upheld,3,PHYS,Probation
C029,S037,S053,2026-05-20 21:49:54.524418,0.20670771847699593,Dismissed,4,CHEM,None
C029,S056,S144,2026-05-17 21:49:54.524418,0.5452316846646238,Upheld,5,ENG,Suspension
C029,S133,S080,2026-05-19 21:49:54.524418,0.4117766369346388,Dismissed,6,PHYS,Probation
C029,S033,S051,2026-05-16 21:49:54.524418,0.5616943237931786,Pending,7,MATH,Probation
C029,S135,S020,2026-05-18 21:49:54.524418,0.895513072686105,Dismissed,8,ENG,Probation
C029,S100,S011,2026-05-16 21:49:54.524418,0.8934060627598989,Dismissed,9,CHEM,None
C029,S053,S195,2026-05-19 21:49:54.524418,0.7270201267959273,Dismissed,10,CS,Probation
C029,S005,S012,2026-05-19 21:49:54.524418,0.3169555213339057,Upheld,11,CHEM,None
C029,S179,S147,2026-05-16 21:49:54.524418,0.3649202310485694,Dismissed,12,BIO,None
C029,S017,S192,2026-05-17 21:49:54.524418,0.31486589516863367,Dismissed,13,PHYS,Warning
C029,S053,S052,2026-05-18 21:49:54.524418,0.42309501156285495,Dismissed,14,MATH,Expulsion
C029,S088,S104,2026-05-16 21:49:54.524418,0.5755196256946224,Dismissed,15,PHYS,None
C030,S044,S071,2026-05-21 21:49:54.545100,0.5693493902463623,Dismissed,0,CHEM,Probation
C030,S025,S098,2026-05-15 21:49:54.545100,0.7088549225759208,Dismissed,1,CHEM,Warning
C030,S135,S022,2026-05-17 21:49:54.545100,0.33397644186180164,Upheld,2,ENG,Warning
C030,S198,S016,2026-05-17 21:49:54.545100,0.7853713946623986,Dismissed,3,CHEM,Probation
C030,S176,S042,2026-05-20 21:49:54.545100,0.6368174995517606,Upheld,4,MATH,Expulsion
C030,S030,S167,2026-05-23 21:49:54.545100,0.5759419775209415,Appealed,5,ENG,Expulsion
C030,S030,S175,2026-05-21 21:49:54.545100,0.28597393798451914,Pending,6,BIO,Probation
C030,S106,S167,2026-05-16 21:49:54.545100,0.8084381954069061,Dismissed,7,BIO,Probation
C030,S047,S183,2026-05-19 21:49:54.545100,0.8282269236123924,Pending,8,ENG,Warning
C030,S088,S020,2026-05-18 21:49:54.545100,0.7520446049930151,Upheld,9,CS,Warning
C031,S064,S162,2026-05-31 21:49:54.564013,0.5660802920647623,Dismissed,0,PHYS,Warning
C031,S090,S086,2026-06-01 21:49:54.564013,0.878795932589622,Dismissed,1,MATH,None
C031,S091,S195,2026-06-02 21:49:54.564013,0.3036066518478752,Upheld,2,CS,Warning
C031,S090,S063,2026-05-31 21:49:54.564013,0.6008549893423506,Dismissed,3,CHEM,Warning
C031,S020,S062,2026-06-04 21:49:54.564013,0.7552825103810905,Pending,4,ENG,Warning
C031,S158,S154,2026-06-01 21:49:54.564013,0.8461412925312273,Dismissed,5,PHYS,Probation
C031,S093,S008,2026-06-08 21:49:54.564013,0.15553062771029297,Upheld,6,MATH,None
C031,S191,S031,2026-06-03 21:49:54.564013,0.7548021260138955,Upheld,7,CHEM,Suspension
C031,S162,S170,2026-06-04 21:49:54.564013,0.5706424195682618,Pending,8,PHYS,None
C031,S092,S109,2026-05-31 21:49:54.564013,0.22279321257312526,Dismissed,9,CHEM,Expulsion
C031,S113,S116,2026-06-01 21:49:54.564013,0.9442684338588896,Upheld,10,CHEM,Suspension
C031,S082,S084,2026-06-01 21:49:54.564013,0.7243610425858846,Upheld,11,PHYS,None
C031,S060,S073,2026-06-02 21:49:54.564013,0.32128578938207725,Pending,12,ENG,Probation
C031,S174,S073,2026-06-02 21:49:54.564013,0.5789851817754543,Pending,13,PHYS,Warning
C032,S118,S155,2026-03-30 21:49:54.590382,0.5601274920470045,Pending,0,CHEM,Warning
C032,S068,S112,2026-03-30 21:49:54.590382,0.5135292761064907,Upheld,1,MATH,Probation
C032,S074,S198,2026-03-30 21:49:54.590382,0.2653091302159494,Upheld,2,CS,Warning
C032,S011,S200,2026-03-31 21:49:54.590382,0.8631361323695875,Dismissed,3,CHEM,Warning
C032,S186,S068,2026-03-30 21:49:54.590382,0.4285105553613077,Pending,4,ENG,Probation
C032,S031,S107,2026-03-28 21:49:54.590382,0.8305322048074529,Dismissed,5,PHYS,Warning
C032,S149,S040,2026-04-02 21:49:54.590382,0.5538280425963004,Dismissed,6,CHEM,None
C032,S067,S130,2026-03-27 21:49:54.590382,0.10047402611168695,Dismissed,7,PHYS,Suspension
C033,S140,S061,2026-03-25 21:49:54.607636,0.8115942060271168,Dismissed,0,PHYS,Suspension
C033,S071,S178,2026-03-27 21:49:54.607636,0.35620431628996774,Pending,1,PHYS,Warning
C033,S176,S182,2026-03-30 21:49:54.607636,0.788790322023331,Upheld,2,CHEM,Warning
C033,S023,S169,2026-03-25 21:49:54.607636,0.43994980079609936,Pending,3,BIO,Warning
C033,S163,S169,2026-03-22 21:49:54.607636,0.8206766742495964,Upheld,4,ENG,Probation
C033,S108,S128,2026-03-25 21:49:54.607636,0.5650759403577137,Dismissed,5,MATH,None
