date,violation_type,severity,course,reported_by,investigation_duration,appealed
2025-01-19,Cheating,Minor,PHYS101,TA,14,False
2025-01-19,Unauthorized AI Use,Minor,CS101,TA,17,False
2025-01-19,Plagiarism,Major,CS201,Peer,19,False
2025-01-20,Unauthorized AI Use,Moderate,CS101,Peer,14,False
2025-01-20,Facilitation,Minor,MATH101,Peer,16,False
2025-01-20,Fabrication,Moderate,CS101,Administrator,10,False
2025-01-20,Plagiarism,Minor,CS101,Administrator,11,False
2025-01-20,Plagiarism,Moderate,MATH101,Peer,14,False
2025-01-20,Plagiarism,Minor,CS101,TA,19,True
2025-01-20,Fabrication,Moderate,CS201,Instructor,19,False
2025-01-20,Fabrication,Minor,CS201,Instructor,19,False
2025-01-20,Unauthorized AI Use,Major,CS101,Administrator,14,False
2025-01-20,Plagiarism,Minor,ENG101,Instructor,17,False
2025-01-21,Cheating,Moderate,CS201,Administrator,13,False
2025-01-21,Cheating,Major,ENG101,Peer,15,False
2025-01-21,Fabrication,Moderate,CS201,Instructor,16,False
2025-01-21,Cheating,Minor,ENG101,TA,21,False
2025-01-21,Cheating,Minor,ENG101,Peer,17,True
2025-01-21,Cheating,Minor,ENG101,Peer,19,False
2025-01-21,Plagiarism,Moderate,PHYS101,Peer,6,False
2025-01-21,Unauthorized AI Use,Minor,MATH101,TA,13,False
2025-01-21,Facilitation,Moderate,ENG101,Administrator,14,False
2025-01-22,Plagiarism,Minor,ENG101,TA,20,False
2025-01-22,Fabrication,Major,CS101,TA,26,False
2025-01-22,Cheating,Minor,MATH101,TA,10,False
2025-01-22,Plagiarism,Major,PHYS101,Instructor,16,False
2025-01-22,Fabrication,Major,CS201,Instructor,18,False
2025-01-22,Cheating,Minor,CS201,Administrator,14,False
2025-01-22,Cheating,Minor,PHYS101,Peer,18,True
2025-01-22,Plagiarism,Moderate,PHYS101,Administrator,15,False
2025-01-22,Fabrication,Minor,CS201,Instructor,23,True
2025-01-23,Plagiarism,Moderate,CS101,Administrator,14,True
2025-01-23,Unauthorized AI Use,Major,ENG101,Administrator,16,False
2025-01-23,Unauthorized AI Use,Moderate,ENG101,Peer,19,False
2025-01-23,Fabrication,Minor,ENG101,Instructor,15,False
2025-01-23,Plagiarism,Major,CS201,TA,14,False
2025-01-23,Unauthorized AI Use,Moderate,PHYS101,Peer,15,False
2025-01-23,Unauthorized AI Use,Minor,PHYS101,TA,16,False
2025-01-23,Unauthorized AI Use,Major,MATH101,Instructor,20,False
2025-01-23,Plagiarism,Major,CS201,TA,15,True
2025-01-24,Unauthorized AI Use,Major,CS201,Peer,11,False
2025-01-24,Plagiarism,Major,MATH101,Instructor,15,False
2025-01-24,Unauthorized AI Use,Moderate,CS201,Peer,21,False
2025-01-24,Plagiarism,Minor,MATH101,Instructor,21,False
2025-01-24,Cheating,Major,MATH101,Peer,9,False
2025-01-24,Plagiarism,Moderate,MATH101,Instructor,12,False
2025-01-24,Plagiarism,Moderate,CS101,Instructor,11,False
2025-01-25,Unauthorized AI Use,Minor,CS201,Administrator,14,False
2025-01-25,Plagiarism,Minor,ENG101,Instructor,13,False
2025-01-25,Plagiarism,Major,PHYS101,TA,14,False
2025-01-25,Fabrication,Minor,PHYS101,Peer,20,False
2025-01-25,Fabrication,Moderate,CS101,Peer,17,False
2025-01-25,Facilitation,Major,CS101,Instructor,20,True
2025-01-26,Fabrication,Minor,ENG101,Instructor,13,False
2025-01-26,Plagiarism,Moderate,MATH101,Administrator,12,True
2025-01-26,Fabrication,Major,ENG101,Peer,13,True
2025-01-26,Facilitation,Minor,PHYS101,Peer,15,False
2025-01-26,Fabrication,Moderate,ENG101,Peer,17,False
2025-01-26,Fabrication,Moderate,ENG101,Peer,21,False
2025-01-27,Unauthorized AI Use,Moderate,ENG101,Peer,13,False
2025-01-27,Unauthorized AI Use,Moderate,CS101,Peer,14,False
2025-01-27,Facilitation,Moderate,MATH101,TA,15,False
2025-01-27,Facilitation,Moderate,CS201,TA,19,False
2025-01-27,Facilitation,Major,ENG101,Administrator,21,True
2025-01-28,Plagiarism,Minor,ENG101,Administrator,14,False
2025-01-28,Unauthorized AI Use,Minor,MATH101,Administrator,11,False
2025-01-28,Fabrication,Moderate,PHYS101,Peer,15,False
2025-01-28,Fabrication,Major,CS201,TA,17,False
2025-01-29,Facilitation,Minor,MATH101,TA,16,False
2025-01-29,Plagiarism,Minor,ENG101,Administrator,13,False
2025-01-29,Plagiarism,Moderate,ENG101,TA,11,False
2025-01-29,Plagiarism,Minor,ENG101,Instructor,20,False
2025-01-29,Unauthorized AI Use,Minor,CS201,TA,19,False
2025-01-29,Cheating,Moderate,CS201,Instructor,13,False
2025-01-29,Unauthorized AI Use,Moderate,CS201,Instructor,14,True
2025-01-30,Fabrication,Major,MATH101,TA,13,False
2025-01-30,Unauthorized AI Use,Major,CS201,Instructor,15,False
2025-01-30,Cheating,Minor,ENG101,Administrator,12,False
2025-01-30,Facilitation,Moderate,ENG101,TA,16,False
2025-01-30,Plagiarism,Minor,CS101,Instructor,16,False
2025-01-30,Unauthorized AI Use,Major,MATH101,TA,13,True
2025-01-30,Unauthorized AI Use,Moderate,MATH101,Instructor,14,True
2025-01-30,Fabrication,Minor,CS201,Peer,15,False
2025-01-31,Plagiarism,Moderate,PHYS101,Instructor,14,False
2025-01-31,Fabrication,Minor,CS101,Administrator,15,False
2025-01-31,Unauthorized AI Use,Major,CS201,TA,10,False
2025-01-31,Facilitation,Minor,MATH101,Peer,13,False
2025-01-31,Plagiarism,Moderate,CS101,TA,13,False
2025-01-31,Plagiarism,Major,CS101,Peer,16,False
2025-01-31,Cheating,Major,CS101,Administrator,12,False
2025-01-31,Facilitation,Moderate,MATH101,TA,7,False
2025-01-31,Unauthorized AI Use,Moderate,PHYS101,Peer,22,False
2025-01-31,Cheating,Moderate,CS101,Instructor,20,False
2025-01-31,Facilitation,Minor,ENG101,TA,14,False
2025-01-31,Cheating,Minor,CS201,Peer,18,False
2025-01-31,Cheating,Moderate,CS101,Peer,13,False
2025-02-01,Plagiarism,Minor,PHYS101,TA,10,True
2025-02-01,Plagiarism,Major,CS201,Instructor,20,False
2025-02-01,Cheating,Minor,MATH101,Peer,17,False
2025-02-01,Plagiarism,Moderate,ENG101,Administrator,8,True
2025-02-01,Cheating,Moderate,MATH101,TA,17,False
2025-02-01,Cheating,Minor,CS201,Administrator,14,False
2025-02-01,Plagiarism,Minor,CS101,Peer,17,False
2025-02-01,Plagiarism,Minor,MATH101,Peer,17,False
2025-02-02,Cheating,Moderate,ENG101,Peer,12,False
2025-02-02,Unauthorized AI Use,Moderate,CS101,Instructor,21,False
2025-02-02,Cheating,Moderate,CS201,TA,17,False
2025-02-02,Fabrication,Minor,CS201,Peer,15,False
2025-02-02,Cheating,Minor,CS201,Instructor,13,False
2025-02-02,Cheating,Moderate,PHYS101,Administrator,14,False
2025-02-02,Fabrication,Major,CS201,TA,11,False
2025-02-02,Plagiarism,Major,ENG101,TA,11,False
2025-02-02,Plagiarism,Major,PHYS101,Administrator,14,False
2025-02-03,Cheating,Moderate,CS201,Administrator,12,False
2025-02-03,Plagiarism,Major,CS201,Instructor,28,False
2025-02-03,Cheating,Moderate,PHYS101,Administrator,16,False
2025-02-03,Cheating,Major,PHYS101,Peer,17,False
2025-02-03,Fabrication,Major,ENG101,Peer,9,False
2025-02-04,Cheating,Moderate,PHYS101,Instructor,16,False
2025-02-04,Facilitation,Major,PHYS101,TA,15,False
2025-02-04,Unauthorized AI Use,Moderate,MATH101,Peer,19,False
2025-02-04,Plagiarism,Major,CS201,Instructor,17,False
2025-02-04,Fabrication,Minor,CS201,Peer,15,True
2025-02-04,Plagiarism,Major,CS201,Peer,10,False
2025-02-04,Cheating,Moderate,ENG101,TA,17,False
2025-02-04,Cheating,Moderate,PHYS101,Instructor,13,False
2025-02-04,Fabrication,Minor,PHYS101,Peer,16,True
2025-02-06,Fabrication,Moderate,CS201,Administrator,10,False
2025-02-06,Unauthorized AI Use,Moderate,PHYS101,Administrator,20,False
2025-02-07,Cheating,Moderate,PHYS101,Instructor,19,False
2025-02-07,Unauthorized AI Use,Minor,MATH101,Instructor,17,True
2025-02-07,Unauthorized AI Use,Minor,CS201,Administrator,14,False
2025-02-07,Cheating,Major,PHYS101,Administrator,15,False
2025-02-07,Plagiarism,Moderate,CS101,Administrator,17,False
2025-02-07,Unauthorized AI Use,Major,PHYS101,Peer,10,True
2025-02-07,Plagiarism,Minor,ENG101,Instructor,20,False
2025-02-07,Cheating,Minor,ENG101,TA,13,False
2025-02-07,Cheating,Moderate,CS101,Administrator,17,False
2025-02-07,Fabrication,Minor,CS101,Instructor,17,False
2025-02-07,Plagiarism,Major,ENG101,TA,12,False
2025-02-07,Plagiarism,Major,CS101,Administrator,16,False
2025-02-08,Plagiarism,Moderate,ENG101,Administrator,16,False
2025-02-08,Plagiarism,Moderate,ENG101,Instructor,8,False
2025-02-08,Cheating,Major,PHYS101,Instructor,10,False
2025-02-08,Facilitation,Moderate,PHYS101,Peer,9,False
2025-02-08,Fabrication,Major,CS201,TA,14,False
2025-02-08,Unauthorized AI Use,Moderate,CS201,Peer,19,False
2025-02-09,Cheating,Moderate,MATH101,Administrator,15,False
2025-02-09,Cheating,Minor,MATH101,Instructor,16,False
2025-02-09,Fabrication,Moderate,CS101,Administrator,24,False
2025-02-09,Plagiarism,Major,CS201,TA,24,True
2025-02-10,Fabrication,Major,CS101,Peer,6,False
2025-02-10,Plagiarism,Moderate,MATH101,Peer,18,False
2025-02-10,Unauthorized AI Use,Moderate,MATH101,Administrator,13,False
2025-02-10,Facilitation,Major,PHYS101,Peer,11,False
2025-02-10,Plagiarism,Moderate,MATH101,TA,13,False
2025-02-10,Facilitation,Major,MATH101,Administrator,14,False
2025-02-11,Unauthorized AI Use,Major,MATH101,TA,12,False
2025-02-11,Cheating,Moderate,PHYS101,Administrator,16,False
2025-02-11,Plagiarism,Moderate,PHYS101,Peer,11,False
2025-02-11,Cheating,Major,CS101,Administrator,16,False
2025-02-11,Plagiarism,Major,ENG101,Peer,15,False
2025-02-11,Unauthorized AI Use,Moderate,MATH101,Administrator,12,False
2025-02-11,Cheating,Major,CS201,Administrator,10,False
2025-02-12,Fabrication,Minor,MATH101,TA,20,False
2025-02-12,Cheating,Moderate,PHYS101,TA,9,False
2025-02-12,Fabrication,Major,CS201,Peer,11,False
2025-02-12,Plagiarism,Minor,CS101,TA,18,True
2025-02-12,Plagiarism,Major,CS101,Administrator,15,False
2025-02-12,Fabrication,Moderate,ENG101,Instructor,18,True
2025-02-13,Plagiarism,Minor,ENG101,Peer,17,False
2025-02-13,Plagiarism,Major,CS101,TA,12,False
2025-02-13,Unauthorized AI Use,Moderate,MATH101,TA,13,True
2025-02-13,Unauthorized AI Use,Moderate,CS201,TA,15,False
2025-02-13,Unauthorized AI Use,Major,PHYS101,Administrator,12,False
2025-02-13,Cheating,Moderate,ENG101,Peer,12,False
2025-02-13,Cheating,Minor,CS101,TA,15,False
2025-02-13,Plagiarism,Minor,PHYS101,Instructor,14,True
2025-02-13,Unauthorized AI Use,Major,MATH101,Instructor,13,False
2025-02-13,Unauthorized AI Use,Minor,CS201,TA,19,False
2025-02-13,Plagiarism,Moderate,CS101,Peer,20,True
2025-02-13,Plagiarism,Minor,PHYS101,Instructor,12,False
2025-02-14,Cheating,Major,CS201,Peer,10,False
2025-02-14,Unauthorized AI Use,Moderate,PHYS101,Peer,19,True
2025-02-14,Plagiarism,Moderate,CS101,Instructor,12,True
2025-02-14,Facilitation,Minor,MATH101,Peer,16,False
2025-02-14,Fabrication,Major,MATH101,TA,17,True
2025-02-14,Cheating,Moderate,CS101,Administrator,15,False
2025-02-14,Plagiarism,Major,PHYS101,Peer,25,False
2025-02-14,Unauthorized AI Use,Minor,MATH101,TA,14,False
2025-02-14,Plagiarism,Major,PHYS101,Peer,14,False
2025-02-15,Cheating,Minor,CS201,Peer,15,False
2025-02-15,Cheating,Major,CS101,Instructor,8,False
2025-02-15,Fabrication,Moderate,ENG101,Administrator,16,True
2025-02-16,Facilitation,Minor,ENG101,TA,15,False
2025-02-16,Cheating,Major,PHYS101,TA,11,False
2025-02-16,Plagiarism,Minor,MATH101,Instructor,22,False
2025-02-16,Plagiarism,Moderate,CS201,TA,17,False
2025-02-16,Unauthorized AI Use,Minor,ENG101,TA,19,False
2025-02-16,Unauthorized AI Use,Major,CS201,Peer,12,False
2025-02-16,Plagiarism,Major,PHYS101,Peer,13,False
2025-02-16,Fabrication,Moderate,CS101,TA,17,True
2025-02-17,Cheating,Major,PHYS101,Instructor,13,False
2025-02-17,Cheating,Major,CS101,TA,18,False
2025-02-17,Plagiarism,Minor,PHYS101,Peer,14,False
2025-02-17,Unauthorized AI Use,Major,CS101,Instructor,15,False
2025-02-17,Unauthorized AI Use,Moderate,CS201,Instructor,17,True
2025-02-17,Plagiarism,Moderate,CS101,Instructor,11,False
2025-02-17,Plagiarism,Major,PHYS101,Peer,16,False
2025-02-17,Plagiarism,Minor,MATH101,TA,13,True
2025-02-17,Cheating,Minor,ENG101,TA,13,False
2025-02-17,Fabrication,Major,PHYS101,Administrator,15,True
2025-02-17,Unauthorized AI Use,Major,CS201,Instructor,15,False
2025-02-17,Cheating,Moderate,PHYS101,Administrator,16,False
2025-02-18,Unauthorized AI Use,Moderate,CS101,Peer,14,False
2025-02-18,Cheating,Moderate,ENG101,TA,11,False
2025-02-18,Cheating,Minor,ENG101,Instructor,11,True
2025-02-18,Cheating,Major,PHYS101,Peer,15,False
2025-02-18,Facilitation,Moderate,PHYS101,Instructor,19,False
2025-02-18,Unauthorized AI Use,Moderate,PHYS101,TA,19,False
2025-02-19,Plagiarism,Minor,MATH101,Administrator,17,False
2025-02-19,Plagiarism,Minor,ENG101,Instructor,16,False
2025-02-19,Cheating,Major,MATH101,Administrator,21,False
2025-02-19,Cheating,Moderate,ENG101,Administrator,17,False
2025-02-19,Unauthorized AI Use,Moderate,MATH101,Peer,14,False
2025-02-19,Plagiarism,Minor,MATH101,Administrator,13,False
2025-02-19,Facilitation,Moderate,MATH101,Administrator,15,True
2025-02-19,Cheating,Moderate,MATH101,TA,10,False
2025-02-19,Plagiarism,Moderate,ENG101,Instructor,22,False
2025-02-19,Facilitation,Moderate,MATH101,Peer,16,True
2025-02-19,Plagiarism,Moderate,ENG101,Administrator,21,False
2025-02-19,Unauthorized AI Use,Moderate,PHYS101,Peer,10,False
2025-02-20,Cheating,Moderate,MATH101,TA,15,False
2025-02-20,Cheating,Minor,CS201,Instructor,12,True
2025-02-20,Fabrication,Major,MATH101,TA,14,True
2025-02-20,Plagiarism,Moderate,CS201,Administrator,18,False
2025-02-20,Fabrication,Major,CS101,Administrator,18,False
2025-02-20,Plagiarism,Moderate,CS101,TA,14,False
2025-02-20,Plagiarism,Major,PHYS101,Peer,11,False
2025-02-20,Fabrication,Moderate,MATH101,TA,13,False
2025-02-21,Fabrication,Major,PHYS101,TA,17,False
2025-02-21,Unauthorized AI Use,Major,CS201,Administrator,17,False
2025-02-21,Unauthorized AI Use,Moderate,MATH101,Administrator,12,False
2025-02-21,Facilitation,Moderate,CS101,Instructor,20,False
2025-02-21,Plagiarism,Major,MATH101,Instructor,9,False
2025-02-21,Unauthorized AI Use,Moderate,MATH101,TA,10,False
2025-02-21,Cheating,Moderate,PHYS101,Instructor,12,False
2025-02-21,Cheating,Minor,ENG101,Instructor,18,False
2025-02-21,Plagiarism,Moderate,MATH101,Peer,12,False
2025-02-21,Fabrication,Moderate,ENG101,Instructor,15,False
2025-02-22,Plagiarism,Major,ENG101,Instructor,13,False
2025-02-22,Cheating,Major,MATH101,Administrator,7,False
2025-02-22,Cheating,Moderate,CS201,Instructor,14,False
2025-02-22,Plagiarism,Moderate,ENG101,Peer,12,False
2025-02-22,Plagiarism,Major,MATH101,Administrator,14,False
2025-02-22,Fabrication,Moderate,ENG101,Instructor,11,False
2025-02-22,Cheating,Major,PHYS101,TA,17,False
2025-02-22,Plagiarism,Major,PHYS101,Instructor,14,False
2025-02-22,Unauthorized AI Use,Minor,CS201,Instructor,11,False
2025-02-23,Plagiarism,Moderate,CS201,TA,11,False
2025-02-23,Cheating,Moderate,MATH101,TA,17,True
2025-02-23,Cheating,Moderate,ENG101,Peer,14,False
2025-02-23,Unauthorized AI Use,Minor,MATH101,Instructor,16,False
2025-02-23,Plagiarism,Major,ENG101,Administrator,15,False
2025-02-23,Facilitation,Minor,ENG101,Administrator,13,False
2025-02-24,Fabrication,Major,CS101,Peer,15,False
2025-02-24,Unauthorized AI Use,Moderate,CS201,Instructor,19,False
2025-02-25,Fabrication,Moderate,PHYS101,TA,22,False
2025-02-25,Plagiarism,Major,CS201,Peer,15,False
2025-02-25,Facilitation,Moderate,MATH101,Peer,9,False
2025-02-25,Plagiarism,Moderate,PHYS101,Peer,16,False
2025-02-25,Plagiarism,Major,MATH101,TA,11,False
2025-02-25,Cheating,Moderate,MATH101,Peer,16,True
2025-02-25,Cheating,Moderate,CS201,TA,13,False
2025-02-25,Unauthorized AI Use,Major,CS201,Administrator,17,False
2025-02-26,Plagiarism,Major,PHYS101,Instructor,27,False
2025-02-26,Fabrication,Minor,MATH101,TA,15,False
2025-02-26,Plagiarism,Major,MATH101,Instructor,13,False
2025-02-26,Unauthorized AI Use,Minor,ENG101,TA,14,False
2025-02-26,Plagiarism,Moderate,MATH101,TA,19,False
2025-02-26,Plagiarism,Moderate,PHYS101,Instructor,18,False
2025-02-26,Cheating,Major,MATH101,Administrator,17,False
2025-02-27,Plagiarism,Minor,CS101,Administrator,14,True
2025-02-27,Facilitation,Minor,MATH101,Administrator,21,False
2025-02-27,Unauthorized AI Use,Major,MATH101,TA,17,True
2025-02-27,Fabrication,Major,PHYS101,Instructor,10,True
2025-02-27,Plagiarism,Minor,MATH101,Peer,16,False
2025-02-28,Cheating,Moderate,ENG101,Administrator,13,True
2025-02-28,Plagiarism,Minor,MATH101,TA,18,False
2025-02-28,Cheating,Major,ENG101,Administrator,16,False
2025-02-28,Unauthorized AI Use,Major,ENG101,Peer,15,False
2025-02-28,Fabrication,Moderate,CS101,Instructor,16,False
2025-02-28,Cheating,Major,MATH101,TA,17,False
2025-02-28,Cheating,Major,MATH101,Peer,12,False
2025-02-28,Fabrication,Minor,ENG101,TA,17,False
2025-02-28,Unauthorized AI Use,Major,ENG101,TA,12,False
2025-02-28,Cheating,Minor,MATH101,Administrator,11,False
2025-03-01,Fabrication,Major,CS201,Peer,15,False
2025-03-01,Cheating,Minor,ENG101,Peer,14,False
2025-03-01,Cheating,Major,CS101,Peer,22,False
2025-03-01,Fabrication,Major,MATH101,TA,14,False
2025-03-02,Plagiarism,Moderate,CS101,TA,12,False
2025-03-02,Fabrication,Minor,PHYS101,TA,17,False
2025-03-02,Cheating,Minor,MATH101,TA,21,False
2025-03-02,Fabrication,Moderate,PHYS101,Administrator,15,False
